"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"CBY-561","Molecular Biology","","4.0 units","Lecture","40664R","046","3:00-4:50pm","Tue, Thu","85","42","0","Woojin An, Sita Reddy, Ansgar Siemer, Michael Lieber, Judd Rice, Ruchi Bajpai, Ebrahim Zandi, Robert Maxson, Stanley Tahara, Muller Fabbri, Roger Duncan, Ite Laird","MCH156"
"CBY-571","Biochemistry","","4.0 units","Lecture","40670D","046","1:00-2:50pm","Tue, Thu","65","49","0","Vijay Kalra, Yves Declerck","MCH156"
"CBY-573","Molecular Embryology","","4.0 units","Lecture","22301D","001","TBA","TBA","10","3","0","Michael Paine","TBA"
"CBY-575","Biologic Basis of Oral-Facial Disease","","3.0 units","Lecture","22302D","001","TBA","TBA","40","4","0","Jorgen Slots","OFFICE"
"CBY-579L","Craniofacial Molecular Genetics","","4.0 units","Lecture-Lab","22303D","001","TBA","TBA","40","16","0","Hongsheng Tong","OFFICE"
"CBY-585","Systematic Research Writing","","3.0 units","Lecture","22305D","001","TBA","TBA","10","3","0","Michael Schneir","OFFICE"
"CBY-586x","Scientific Writing Practicum","P","3.0 units","Lecture","22306D","001","TBA","TBA","3","0","0","Michael Schneir","OFFICE"
"CBY-590","Directed Research","","1.0-12.0 units","Lecture","22320D","001","TBA","TBA","40","32","0","Michael Paine","OFFICE"
"CBY-594a","Master's Thesis","C","2.0 units","Lecture","22321D","001","TBA","TBA","20","10","0","Michael Paine","OFFICE"
"CBY-594b","Master's Thesis","PC","2.0 units","Lecture","22322D","001","TBA","TBA","20","0","0","Michael Paine","OFFICE"
"CBY-594z","Master's Thesis","PC","0.0 units","Lecture","22323D","001","TBA","TBA","20","0","0","Michael Paine","OFFICE"
"CBY-672","Advances in Development and Differentiation","","2.0 units","Lecture","22331D","001","TBA","TBA","20","6","0","Glenn Sameshima","OFFICE"
"CBY-674","Advanced Oral Microbiology","","2.0 units","Lecture","22332D","001","TBA","TBA","20","4","0","Jorgen Slots","OFFICE"
"CBY-790","Research","","1.0-12.0 units","Lecture","22324D","001","TBA","TBA","25","10","0","Michael Paine","OFFICE"
"CBY-794a","Doctoral Dissertation","C","2.0 units","Lecture","22325D","001","TBA","TBA","20","3","0","Michael Paine","OFFICE"
"CBY-794b","Doctoral Dissertation","PC","2.0 units","Lecture","22326D","001","TBA","TBA","20","2","0","Michael Paine","OFFICE"
"CBY-794c","Doctoral Dissertation","PC","2.0 units","Lecture","22327D","001","TBA","TBA","20","0","0","Michael Paine","OFFICE"
"CBY-794d","Doctoral Dissertation","PC","2.0 units","Lecture","22328D","001","TBA","TBA","20","1","0","Michael Paine","OFFICE"
"CBY-794z","Doctoral Dissertation","PC","0.0 units","Lecture","22329D","001","TBA","TBA","20","0","0","Michael Paine","OFFICE"
