"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"CE-106","Design and Planning of Civil Engineering Systems","","2.0 units","Lecture","29600R","001","9:00-9:50am","Mon, Wed","60","34","0","Amy Rechenmacher","GFS101"
"CE-107","Introduction to Civil Engineering Graphics","","3.0 units","Lecture","29601R","001","2:00-4:50pm","Thursday","30","13","0","Hung Wong","WPH B36"
"CE-110","Introduction to Environmental Engineering","","3.0 units","Lecture","29604R","001","9:30-10:50am","Tue, Thu","30","22","0","Amy Childress","LVL13"
"","","","","Discussion","29605R","001","3:30-4:20pm","Wednesday","20","2","0","",""
"CE-205","Statics","P","2.0 units","Lecture","29608R","001","10:00-10:50am","Mon, Wed","61","55","0","Vincent Lee","SLH102"
"","","","","Discussion","29610R","001","10:00-10:50am","Friday","25","24","0","","THH215"
"","","","","Discussion","29611R","001","11:00-11:50am","Wednesday","22","22","0","","VPD107"
"","","","","Discussion","29613R","001","1:00-1:50pm","Wednesday","20","9","0","","KAP145"
"CE-210L","Introduction to Environmental Engineering Microbiology","","3.0 units","Lecture","29615R","001","12:30-1:45pm","Tue, Thu","16","13","0","Massoud Pirbazari","KAP167"
"","","","","Lab","29619R","001","1:30-3:20pm","Monday","8","7","0","","BHE210"
"","","","","Lab","29620R","001","12:00-1:50pm","Wednesday","8","6","0","","BHE210"
"CE-309","Fluid Mechanics","P","3.0 units","Lecture","29626R","001","10:00-10:50am","MWF","26","29","0","Patrick Lynett","KAP166"
"","","","","Discussion","29627R","001","9:00-9:50am","Friday","15","14","0","","KAP166"
"","","","","Discussion","29842R","001","11:00-11:50am","Friday","15","15","0","","VKC206"
"","","","","Lecture","29625R","001","11:00-11:50am","MWF","25","19","0","Costas Synolakis","KAP166"
"","","","","Discussion","29840R","001","1:00-1:50pm","Wednesday","15","12","0","","KAP166"
"","","","","Discussion","29841R","001","1:00-1:50pm","Tuesday","10","7","0","","HED103"
"CE-334L","Mechanical Behavior of Materials","P","3.0 units","Lecture","29636R","001","3:30-6:10pm","Monday","50","46","0","Sami Masri","KAP156"
"","","","","Lab","29635R","001","1:00-3:50pm","Friday","8","4","0","","KAP B39"
"","","","","Lab","29637D","001","11:00-1:50pm","Thursday","9","9","0","","KAP B39"
"","","","","Lab","29638R","001","11:00-1:50pm","Tuesday","8","8","0","","KAP B39"
"","","","","Lab","29639R","001","2:00-4:50pm","Tuesday","8","8","0","","KAP B39"
"","","","","Lab","29640R","001","2:00-4:50pm","Thursday","8","7","0","","KAP B39"
"","","","","Lab","29641D","001","12:00-2:50pm","Monday","10","10","0","","KAP B39"
"CE-358","Theory of Structures I","P","3.0 units","Lecture","29644R","001","9:30-10:50am","Tue, Thu","60","54","0","Mihailo Trifunac","ZHS352"
"","","","","Discussion","29645R","001","8:00-9:20am","Tue, Thu","55","53","0","","ZHS352"
"CE-408","Risk Analysis in Civil Engineering","P","3.0 units","Lecture","29655R","001","2:00-3:20pm","Tue, Thu","72","45","0","Roger Ghanem","THH208"
"","","","","Discussion","29653R","001","3:30-4:20pm","Thursday","38","34","0","","WPH102"
"","","","","Discussion","29654R","001","5:00-5:50pm","Tuesday","34","11","0","","KAP147"
"CE-453","Water Quality Control","P","3.0 units","Lecture","29669R","001","6:30-9:10pm","Wednesday","25","20","0","Massoud Pirbazari","KAP156"
"","","","","Lecture","29670R","001","6:30-9:10pm","Thursday","25","20","0","Massoud Pirbazari","KAP146"
"","","","","Discussion","29671R","001","4:00-4:50pm","Wednesday","24","17","0","","KAP137"
"","","","","Discussion","29672D","001","3:30-4:20pm","Tuesday","26","23","0","","KAP140"
"CE-456","Design of Steel Structures","P","3.0 units","Lecture","29673R","001","3:30-6:10pm","Wednesday","65","48","0","Hung Wong","SLH102"
"","","","","Discussion","29763R","001","2:00-3:20pm","Wednesday","32","30","0","","KAP144"
"","","","","Discussion","29764R","001","4:30-5:50pm","Tuesday","33","17","0","","VKC101"
"CE-459","Introduction to Structural Dynamics","","3.0 units","Lecture","29674R","001","9:30-10:50am","Tue, Thu","25","8","0","Erik Johnson","KAP163"
